strain,replicate,metric,intensity
svs002-svp005,rep1,median_mcherry,84281.0
svs002-svp005,rep1,median_mcherry,19721.0
svs002-svp005,rep1,median_mcherry,37508.0
svs002-svp005,rep1,median_mcherry,16688.0
svs002-svp005,rep1,median_mcherry,38679.0
svs002-svp005,rep1,median_mcherry,25216.0
svs002-svp005,rep1,median_mcherry,16856.0
svs002-svp005,rep1,median_mcherry,45288.0
svs002-svp005,rep1,median_mcherry,102560.0
svs002-svp005,rep1,median_mcherry,29069.0
svs002-svp005,rep1,median_mcherry,40001.0
svs002-svp005,rep1,median_mcherry,38364.0
svs002-svp005,rep1,median_mcherry,41565.0
svs002-svp005,rep1,median_mcherry,109057.0
svs002-svp005,rep1,median_mcherry,34837.0
svs002-svp005,rep1,median_mcherry,1312.0
svs002-svp005,rep1,median_mcherry,110259.0
svs002-svp005,rep1,median_mcherry,57546.0
svs002-svp005,rep1,median_mcherry,27401.0
svs002-svp005,rep1,median_mcherry,1165.0
svs002-svp005,rep1,median_mcherry,3018.0
svs002-svp005,rep1,median_mcherry,1657.0
svs002-svp005,rep1,median_mcherry,42465.0
svs002-svp005,rep1,median_mcherry,37096.0
svs002-svp005,rep1,median_mcherry,24077.0
svs002-svp005,rep1,median_mcherry,1065.0
svs002-svp005,rep1,median_mcherry,37175.0
svs002-svp005,rep1,median_mcherry,32250.0
svs002-svp005,rep1,median_mcherry,53136.0
svs002-svp005,rep1,median_mcherry,697.0
svs002-svp005,rep1,median_mcherry,1839.0
svs002-svp005,rep1,median_mcherry,848.0
svs002-svp005,rep1,median_mcherry,47217.0
svs002-svp005,rep1,median_mcherry,24736.0
svs002-svp005,rep1,median_mcherry,626.0
svs002-svp005,rep1,median_mcherry,2494.0
svs002-svp005,rep1,median_mcherry,42578.0
svs002-svp005,rep1,median_mcherry,15244.0
svs002-svp005,rep1,median_mcherry,1501.0
svs002-svp005,rep1,median_mcherry,39232.0
svs002-svp005,rep1,median_mcherry,47401.0
svs002-svp005,rep1,median_mcherry,43584.0
svs002-svp005,rep1,median_mcherry,636.0
svs002-svp005,rep1,median_mcherry,19174.0
svs002-svp005,rep1,median_mcherry,42229.0
svs002-svp005,rep1,median_mcherry,39756.0
svs002-svp005,rep1,median_mcherry,1305.0
svs002-svp005,rep1,median_mcherry,2876.0
svs002-svp005,rep1,median_mcherry,15143.0
svs002-svp005,rep1,median_mcherry,13475.0
svs002-svp005,rep1,median_mcherry,17929.0
svs002-svp005,rep1,median_mcherry,970.0
svs002-svp005,rep1,median_mcherry,117413.0
svs002-svp005,rep1,median_mcherry,23135.0
svs002-svp005,rep1,median_mcherry,67579.0
svs002-svp005,rep1,median_mcherry,35018.0
svs002-svp005,rep1,median_mcherry,43698.0
svs002-svp005,rep1,median_mcherry,833.0
svs002-svp005,rep1,median_mcherry,37582.0
svs002-svp005,rep1,median_mcherry,110121.0
svs002-svp005,rep1,median_mcherry,46581.0
svs002-svp005,rep1,median_mcherry,62860.0
svs002-svp005,rep1,median_mcherry,56813.0
svs002-svp005,rep1,median_mcherry,28986.0
svs002-svp005,rep1,median_mcherry,36736.0
svs002-svp005,rep1,median_mcherry,31368.0
svs002-svp005,rep1,median_mcherry,35440.0
svs002-svp005,rep1,median_mcherry,1178.0
svs002-svp005,rep1,median_mcherry,17153.0
svs002-svp005,rep1,median_mcherry,45629.0
svs002-svp005,rep1,median_mcherry,21002.0
svs002-svp005,rep1,median_mcherry,24284.0
svs002-svp005,rep1,median_mcherry,35352.0
svs002-svp005,rep1,median_mcherry,106436.0
svs002-svp005,rep1,median_mcherry,59091.0
svs002-svp005,rep1,median_mcherry,2405.0
svs002-svp005,rep1,median_mcherry,891.0
svs002-svp005,rep1,median_mcherry,43374.0
svs002-svp005,rep1,median_mcherry,58140.0
svs002-svp005,rep1,median_mcherry,19728.0
svs002-svp005,rep1,median_mcherry,10910.0
svs002-svp005,rep1,median_mcherry,13563.0
svs002-svp005,rep1,median_mcherry,27020.0
svs002-svp005,rep1,median_mcherry,18040.0
svs002-svp005,rep1,median_mcherry,43982.0
svs002-svp005,rep1,median_mcherry,37545.0
svs002-svp005,rep1,median_mcherry,28748.0
svs002-svp005,rep1,median_mcherry,877.0
svs002-svp005,rep1,median_mcherry,44292.0
svs002-svp005,rep1,median_mcherry,20451.0
svs002-svp005,rep1,median_mcherry,1764.0
svs002-svp005,rep1,median_mcherry,35668.0
svs002-svp005,rep1,median_mcherry,43656.0
svs002-svp005,rep1,median_mcherry,36781.0
svs002-svp005,rep1,median_mcherry,30095.0
svs002-svp005,rep1,median_mcherry,993.0
svs002-svp005,rep1,median_mcherry,17680.0
svs002-svp005,rep1,median_mcherry,1331.0
svs002-svp005,rep1,median_mcherry,78501.0
svs002-svp005,rep1,median_mcherry,656.0
svs002-svp005,rep1,median_mcherry,33560.0
svs002-svp005,rep1,median_mcherry,31873.0
svs002-svp005,rep1,median_mcherry,37436.0
svs002-svp005,rep1,median_mcherry,33292.0
svs002-svp005,rep1,median_mcherry,51009.0
svs002-svp005,rep1,median_mcherry,42152.0
svs002-svp005,rep1,median_mcherry,1604.0
svs002-svp005,rep1,median_mcherry,936.0
svs002-svp005,rep1,median_mcherry,102688.0
svs002-svp005,rep1,median_mcherry,34829.0
svs002-svp005,rep1,median_mcherry,35925.0
svs002-svp005,rep1,median_mcherry,11281.0
svs002-svp005,rep1,median_mcherry,29628.0
svs002-svp005,rep1,median_mcherry,1747.0
svs002-svp005,rep1,median_mcherry,58845.0
svs002-svp005,rep1,median_mcherry,44024.0
svs002-svp005,rep1,median_mcherry,39916.0
svs002-svp005,rep1,median_mcherry,39576.0
svs002-svp005,rep1,median_mcherry,1449.0
svs002-svp005,rep1,median_mcherry,38637.0
svs002-svp005,rep1,median_mcherry,13211.0
svs002-svp005,rep1,median_mcherry,63883.0
svs002-svp005,rep1,median_mcherry,1281.0
svs002-svp005,rep1,median_mcherry,53329.0
svs002-svp005,rep1,median_mcherry,52432.0
svs002-svp005,rep1,median_mcherry,97561.0
svs002-svp005,rep1,median_mcherry,27667.0
svs002-svp005,rep1,median_mcherry,22340.0
svs002-svp005,rep1,median_mcherry,118236.0
svs002-svp005,rep1,median_mcherry,31104.0
svs002-svp005,rep1,median_mcherry,38265.0
svs002-svp005,rep1,median_mcherry,46679.0
svs002-svp005,rep1,median_mcherry,62744.0
svs002-svp005,rep1,median_mcherry,139724.0
svs002-svp005,rep1,median_mcherry,992.0
svs002-svp005,rep1,median_mcherry,59285.0
svs002-svp005,rep1,median_mcherry,625.0
svs002-svp005,rep1,median_mcherry,34296.0
svs002-svp005,rep1,median_mcherry,1176.0
svs002-svp005,rep1,median_mcherry,11088.0
svs002-svp005,rep1,median_mcherry,25583.0
svs002-svp005,rep1,median_mcherry,14152.0
svs002-svp005,rep1,median_mcherry,24612.0
svs002-svp005,rep1,median_mcherry,99580.0
svs002-svp005,rep1,median_mcherry,27432.0
svs002-svp005,rep1,median_mcherry,594.0
