Target,Donor,Supernatant,Antibiotics,Timepoint,Replicates,Colonies,Dilution,CFU,Survival
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),0h,3,42,1e-05,840000000.0,1.0
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),1h,1,26,1e-05,520000000.0,0.6046511627906976
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),1h,2,39,1e-05,779999999.9999999,1.0
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),1h,3,31,1e-05,619999999.9999999,0.7380952380952379
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),4h,1,19,1e-05,379999999.99999994,0.441860465116279
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),4h,2,17,1e-05,339999999.99999994,0.4358974358974359
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),4h,3,11,1e-05,220000000.0,0.2619047619047619
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),8h,1,30,0.0001,60000000.0,0.06976744186046512
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),8h,2,26,0.0001,52000000.0,0.06666666666666668
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),8h,3,29,0.0001,58000000.0,0.06904761904761905
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.3255813953488372e-07
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,2.5641025641025647e-07
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.380952380952381e-07
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),0h,1,30,1e-05,599999999.9999999,1.0
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),0h,2,51,1e-05,1020000000.0,1.0
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),0h,3,56,1e-05,1120000000.0,1.0
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),1h,1,50,1e-05,1000000000.0,1.666666666666667
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),1h,2,41,1e-05,819999999.9999999,0.8039215686274509
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),1h,3,29,1e-05,579999999.9999999,0.5178571428571428
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),4h,1,21,1e-05,420000000.0,0.7000000000000002
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),4h,2,34,1e-05,679999999.9999999,0.6666666666666665
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),4h,3,28,1e-05,560000000.0,0.5
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),8h,1,31,1e-05,619999999.9999999,1.0333333333333334
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),8h,2,14,1e-05,280000000.0,0.27450980392156865
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),8h,3,17,1e-05,339999999.99999994,0.3035714285714285
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),24h,1,49,0.0001,98000000.0,0.16333333333333336
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),24h,2,30,0.0001,60000000.0,0.058823529411764705
SVS002,∆5183 pQFT pqsL,1mM cumate,Tobramycin (58µg/ml),24h,3,22,0.0001,44000000.0,0.039285714285714285
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),0h,1,26,1e-05,520000000.0,1.0
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),0h,2,28,1e-05,560000000.0,1.0
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),0h,3,43,1e-05,860000000.0,1.0
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),1h,1,3,0.001,600000.0,0.001153846153846154
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),1h,2,8,0.001,1600000.0,0.002857142857142857
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),1h,3,6,0.001,1200000.0,0.0013953488372093023
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),4h,1,1,1.0,200.0,3.8461538461538463e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),4h,2,1,1.0,200.0,3.5714285714285716e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),4h,3,1,1.0,200.0,2.3255813953488372e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),8h,1,1,1.0,200.0,3.8461538461538463e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),8h,2,1,1.0,200.0,3.5714285714285716e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),8h,3,1,1.0,200.0,2.3255813953488372e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,3.8461538461538463e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,3.5714285714285716e-07
SVS002,∆5183 pQFT rhlAB,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.3255813953488372e-07
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),0h,1,36,1e-05,719999999.9999999,1.0
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),0h,2,39,1e-05,779999999.9999999,1.0
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),0h,3,29,1e-05,579999999.9999999,1.0
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),1h,1,2,0.1,4000.0,5.555555555555557e-06
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),1h,2,1,0.1,2000.0,2.5641025641025644e-06
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),1h,3,1,1.0,200.0,3.448275862068966e-07
SVS002,∆pqsL,1mM cumate,Tobramycin (58µg/ml),4h,1,1,1.0,200.0,2.777777777777778e-07
