pos,y_bin_label,time_hours,mean_intensity,std_intensity,n_cells,y_min,y_max
pos18,Back,6.083333333333333,251.75428855785748,12.794205556741906,1168,4.903225806451613,241.53333333333333
pos18,Back,6.166666666666666,250.92727038318847,12.770603708790684,1206,4.040816326530612,241.5185185185185
pos18,Back,6.25,250.1369928454869,12.589439083592827,1163,4.363636363636363,241.0681818181818
pos18,Back,6.333333333333333,249.4960338575409,11.985796011381746,1261,4.56140350877193,241.31578947368425
pos18,Back,6.416666666666666,249.75458805554294,11.855349329234919,1207,3.977272727272727,241.375
pos18,Back,6.5,249.3304647573823,12.325552835363652,1301,3.6296296296296298,241.5
pos18,Back,6.583333333333333,248.62482719176714,11.945427334129256,1189,3.953488372093023,241.54237288135593
pos18,Back,6.666666666666666,248.79072126241738,11.548241940997015,1119,4.333333333333333,241.55555555555551
pos18,Back,6.75,247.55278732440942,11.786577581078,1309,4.650793650793651,241.56603773584905
pos18,Back,6.833333333333333,247.2538288052894,11.010370391419126,1303,4.5,241.54117647058823
pos18,Back,6.916666666666666,246.9557413058947,11.465361640399603,1312,4.081632653061225,241.5
pos18,Back,7.0,245.8482250195332,11.15922310590425,1130,3.8823529411764706,241.50943396226415
pos18,Back,7.083333333333333,245.39389447199196,11.16261612061661,1077,4.190476190476191,241.1034482758621
pos18,Back,7.166666666666666,245.03871699152532,10.841729221625792,1083,3.647058823529412,241.52272727272728
pos18,Back,7.25,245.60061187594806,11.184237425389494,1171,4.115384615384615,241.4430379746835
pos18,Back,7.333333333333333,244.8150220143599,10.881792013732614,1153,4.146341463414634,241.13432835820896
pos18,Back,7.416666666666666,244.62649677836018,11.149825879590798,1176,4.0,241.0857142857143
pos18,Back,7.5,244.57213052728355,11.014078080991014,1199,4.0,241.6
pos18,Back,7.583333333333333,244.51501751083597,10.755945885863023,1202,3.735294117647059,241.42424242424244
pos18,Back,7.666666666666666,244.51782164777458,10.681769527381386,1235,4.521739130434782,241.54545454545453
pos18,Back,7.75,244.35145451495748,10.945535806866124,1209,4.218181818181818,241.4814814814815
pos18,Back,7.833333333333333,244.87649197550692,11.120740775606196,1189,4.653846153846154,241.1282051282051
pos18,Back,7.916666666666666,243.22034964041285,10.492872394335944,1173,4.543859649122807,241.5737704918033
pos18,Back,8.0,242.8295297215858,10.651199099604243,1224,4.7924528301886795,241.6129032258065
pos18,Back,8.083333333333332,242.58341553124538,10.53360645549823,1204,4.673913043478261,241.56716417910448
pos18,Back,8.166666666666666,241.38255605253136,10.487114194437698,1242,4.245283018867925,241.4406779661017
pos18,Back,8.25,241.08865061935933,10.66012507406893,1180,4.476190476190476,241.60655737704917
pos18,Back,8.333333333333332,240.8607718692129,10.051466322693926,1166,5.537037037037037,241.58490566037736
pos18,Back,8.416666666666666,240.76530178102269,10.590558932547685,1119,4.813559322033898,241.28395061728395
